ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
1,0,0,0,0,0,0,3,1,2.44
2,16,20,0,0,0,0,3,0,0.94
3,3,60,1,80,0,0,0,1,2.84
4,2,80,2,80,2,100,7,1,2.08
5,0,0,0,0,0,0,4,1,2.32
6,14,40,14,60,14,60,4,1,2.36
7,14,20,14,40,14,80,9,1,2.68
8,7,60,0,0,0,0,8,1,2.33
9,0,0,0,0,0,0,2,1,2.39
10,3,80,3,80,3,80,4,1,2.46
11,16,60,0,0,0,0,2,1,2.15
12,0,0,0,0,0,0,6,1,2.61
13,7,40,14,60,7,60,3,1,2.51
14,12,40,11,60,11,60,7,1,2.53
15,0,0,0,0,0,0,1,1,2.26
16,15,20,0,0,0,0,8,0,1.14
17,0,0,0,0,0,0,2,1,3.5
18,14,40,2,60,3,60,7,1,2.6
19,0,0,0,0,0,0,9,1,2.49
20,14,40,0,0,0,0,4,1,2.32
21,0,0,0,0,0,0,6,1,2.49
22,2,60,2,60,2,60,7,1,2.22
23,0,0,0,0,0,0,1,1,2.92
24,0,0,0,0,0,0,8,1,2.38
25,0,0,0,0,0,0,5,1,2.35
26,0,0,0,0,0,0,3,1,2.72
27,0,0,0,0,0,0,4,1,3.81
28,2,60,2,40,0,0,10,1,2.43
29,0,0,0,0,0,0,3,1,2.72
30,0,0,0,0,0,0,2,1,3.14
31,0,0,0,0,0,0,5,0,1.33
32,5,40,3,100,3,100,6,1,2.5
33,0,0,0,0,0,0,2,1,2.33
34,0,0,0,0,0,0,7,1,3.07
35,10,60,10,60,5,80,6,1,3.11
36,0,0,0,0,0,0,5,1,2.14
37,0,0,0,0,0,0,9,1,2.46
38,0,0,0,0,0,0,0,1,2.53
39,0,0,0,0,0,0,6,1,2.54
40,0,0,0,0,0,0,8,0,0
41,0,0,0,0,0,0,9,1,2.63
42,1,60,15,60,15,60,2,1,2.25
43,0,0,0,0,0,0,0,1,2.58
44,14,20,14,20,14,40,7,1,2.43
45,0,0,0,0,0,0,3,0,0
46,0,0,0,0,0,0,7,0,0
47,14,60,14,60,0,0,7,1,2.01
48,10,40,14,60,12,100,1,1,2.31
49,0,0,0,0,0,0,2,1,2.94
50,0,0,0,0,0,0,7,1,2.46
51,0,0,0,0,0,0,2,1,2.64
52,14,60,14,60,14,60,1,1,2.5
53,0,0,0,0,0,0,0,1,2.67
54,0,0,0,0,0,0,3,1,2.17
55,0,0,0,0,0,0,3,0,0.94
56,0,0,0,0,0,0,9,1,2.66
57,0,0,0,0,0,0,4,1,2.22
58,0,0,0,0,0,0,3,1,2.46
59,0,0,0,0,0,0,3,1,2.76
60,0,0,0,0,0,0,0,1,2.21
61,0,0,0,0,0,0,0,1,3.75
62,0,0,0,0,0,0,8,1,2.28
63,14,20,0,0,0,0,3,1,2.24
64,0,0,0,0,0,0,3,1,2.31
65,0,0,0,0,0,0,3,1,2.38
66,0,0,0,0,0,0,2,1,2.44
67,0,0,0,0,0,0,6,1,2.74
68,0,0,0,0,0,0,4,1,2.71
69,0,0,0,0,0,0,3,1,2.28
70,14,40,0,0,0,0,3,0,1.1
71,0,0,0,0,0,0,10,1,3.17
72,0,0,0,0,0,0,9,1,2.75
73,0,0,0,0,0,0,6,1,2.24
74,0,0,0,0,0,0,7,1,2.03
75,0,0,0,0,0,0,0,1,3.53
76,1,20,14,20,0,0,4,0,0.86
77,14,40,14,40,14,80,5,1,3.13
78,12,40,5,60,12,60,10,1,2.64
79,3,20,0,0,0,0,7,1,3.2
80,12,40,0,0,0,0,8,1,2.66
81,13,20,0,0,0,0,10,1,2.54
82,0,0,0,0,0,0,8,1,2.68
83,14,40,14,40,14,40,7,1,2.9
84,0,0,0,0,0,0,4,1,2.33
85,0,0,0,0,0,0,6,1,2.83
86,14,20,14,20,0,0,2,1,2.49
87,2,80,0,0,0,0,1,1,2.44
88,0,0,0,0,0,0,7,1,2.38
89,0,0,0,0,0,0,3,1,3.24
90,0,0,0,0,0,0,3,1,2.82
91,0,0,0,0,0,0,2,1,2.24
92,0,0,0,0,0,0,2,1,3.33
93,7,40,7,60,7,60,6,1,2.11
94,3,20,3,20,5,60,3,0,0.21
95,0,0,0,0,0,0,2,1,2.74
96,0,0,0,0,0,0,0,0,0.39
97,7,40,7,80,0,0,10,1,2.19
98,13,40,14,40,0,0,0,1,2.82
99,0,0,0,0,0,0,0,1,2.89
100,14,60,0,0,0,0,4,0,0.83
101,3,40,12,60,12,80,6,1,2.83
102,2,60,2,60,3,60,5,1,3.28
103,13,40,2,60,2,80,5,1,3.19
104,0,0,0,0,0,0,7,0,1.28
105,13,40,15,40,13,60,6,1,2.13
106,3,20,11,60,0,0,6,1,3.13
107,0,0,0,0,0,0,6,0,1.15
108,0,0,0,0,0,0,5,1,3.18
109,0,0,0,0,0,0,6,1,2.86
110,0,0,0,0,0,0,7,0,2.54
111,3,40,3,60,12,60,4,0,0.88
112,14,20,2,40,13,60,3,1,2.58
113,0,0,0,0,0,0,3,1,2.47
114,0,0,0,0,0,0,4,1,2.78
115,14,20,14,20,14,20,2,1,2.53
116,0,0,0,0,0,0,0,1,2.43
117,0,0,0,0,0,0,8,1,2.81
118,15,20,0,0,0,0,7,1,2.5
119,0,0,0,0,0,0,2,0,2.18
120,14,20,10,60,0,0,7,0,0
121,14,20,12,60,0,0,4,1,2
122,0,0,0,0,0,0,4,1,2.74
123,11,60,0,0,0,0,3,1,2.81
124,0,0,0,0,0,0,3,0,0
125,0,0,0,0,0,0,9,1,2.49
126,13,20,0,0,0,0,6,1,3.1
127,2,40,0,0,0,0,3,1,2.64
128,14,40,3,60,3,60,0,0,0
129,3,40,14,60,12,80,6,1,2.26
130,0,0,0,0,0,0,2,0,1.25
131,14,60,14,80,0,0,1,1,2.5
132,0,0,0,0,0,0,7,1,3.54
133,0,0,0,0,0,0,2,1,2.13
134,12,60,12,60,10,80,1,1,2.39
135,0,0,0,0,0,0,4,1,2.38
136,0,0,0,0,0,0,6,1,2.17
137,0,0,0,0,0,0,4,1,2.07
138,16,60,16,60,0,0,4,1,2.86
139,0,0,0,0,0,0,7,1,3.01
140,0,0,0,0,0,0,0,1,2.69
141,0,0,0,0,0,0,6,1,2.44
142,12,40,12,40,12,60,7,0,0.17
143,0,0,0,0,0,0,3,1,3.18
144,0,0,0,0,0,0,8,1,2.75
145,16,60,1,60,3,80,9,1,2.57
146,14,20,0,0,0,0,0,1,2.96
147,0,0,0,0,0,0,1,1,2.46
148,0,0,0,0,0,0,9,1,2.49
149,3,60,14,60,12,80,3,1,2.89
150,14,20,14,20,2,60,3,1,2.21
151,14,20,3,80,0,0,3,1,2.19
152,0,0,0,0,0,0,1,0,0
153,0,0,0,0,0,0,4,1,3.44
154,14,20,14,40,0,0,7,1,2.94
155,14,40,14,60,2,60,9,1,2.82
156,14,40,14,60,14,60,10,1,2.8
157,2,20,2,40,2,60,9,1,3.06
158,12,60,0,0,0,0,5,1,2.31
159,14,40,12,80,0,0,2,0,0
160,0,0,0,0,0,0,3,1,2.51
161,14,40,0,0,0,0,2,1,2.51
162,0,0,0,0,0,0,6,1,2.51
163,0,0,0,0,0,0,2,1,2.81
164,0,0,0,0,0,0,7,1,2.71
165,0,0,0,0,0,0,7,1,2.82
166,14,60,14,60,14,60,7,1,2.64
167,0,0,0,0,0,0,6,1,3
168,0,0,0,0,0,0,6,0,0
169,0,0,0,0,0,0,4,1,2.45
170,0,0,0,0,0,0,3,0,0
171,0,0,0,0,0,0,7,1,2.58
172,0,0,0,0,0,0,0,1,2.08
173,14,20,14,40,14,40,0,1,3.55
174,0,0,0,0,0,0,7,1,2
175,0,0,0,0,0,0,5,1,2.46
176,14,40,1,60,14,80,6,0,0.17
177,0,0,0,0,0,0,1,1,3.61
178,15,20,0,0,0,0,5,1,3.01
