ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
1,0,0,0,0,0,0,3,1,2.44
2,Seni Suara/Musik,Sekolah,0,0,0,0,3,0,0.94
3,Olimpiade (Lainnya),Propinsi,Drama/Sastra,Nasional,0,0,0,1,2.84
4,Olahraga,Nasional,Olahraga,Nasional,Olahraga,Internasional,7,1,2.08
5,0,0,0,0,0,0,4,1,2.32
6,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kodya,Pramuka/Organisasi Ekstrakurikuler,Propinsi,Pramuka/Organisasi Ekstrakurikuler,Propinsi,4,1,2.36
7,Pramuka/Organisasi Ekstrakurikuler,Sekolah,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kodya,Pramuka/Organisasi Ekstrakurikuler,Nasional,9,1,2.68
8,Olimpiade Fisika,Propinsi,0,0,0,0,8,1,2.33
9,0,0,0,0,0,0,2,1,2.39
10,Olimpiade (Lainnya),Nasional,Olimpiade (Lainnya),Nasional,Olimpiade (Lainnya),Nasional,4,1,2.46
11,Seni Suara/Musik,Propinsi,0,0,0,0,2,1,2.15
12,0,0,0,0,0,0,6,1,2.61
13,Olimpiade Fisika,Kabupaten/Kodya,Pramuka/Organisasi Ekstrakurikuler,Propinsi,Olimpiade Fisika,Propinsi,3,1,2.51
14,Olimpiade Matematika,Kabupaten/Kodya,Olimpiade Komputer,Propinsi,Olimpiade Komputer,Propinsi,7,1,2.53
15,0,0,0,0,0,0,1,1,2.26
16,Seni Rupa/Lukis,Sekolah,0,0,0,0,8,0,1.14
17,0,0,0,0,0,0,2,1,3.50
18,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kodya,Olahraga,Propinsi,Olimpiade (Lainnya),Propinsi,7,1,2.60
19,0,0,0,0,0,0,9,1,2.49
20,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kodya,0,0,0,0,4,1,2.32
21,0,0,0,0,0,0,6,1,2.49
22,Olahraga,Propinsi,Olahraga,Propinsi,Olahraga,Propinsi,7,1,2.22
23,0,0,0,0,0,0,1,1,2.92
24,0,0,0,0,0,0,8,1,2.38
25,0,0,0,0,0,0,5,1,2.35
26,0,0,0,0,0,0,3,1,2.72
27,0,0,0,0,0,0,4,1,3.81
28,Olahraga,Propinsi,Olahraga,Kabupaten/Kodya,0,0,10,1,2.43
29,0,0,0,0,0,0,3,1,2.72
30,0,0,0,0,0,0,2,1,3.14
31,0,0,0,0,0,0,5,0,1.33
32,Olimpiade Biologi,Kabupaten/Kodya,Olimpiade (Lainnya),Internasional,Olimpiade (Lainnya),Internasional,6,1,2.50
33,0,0,0,0,0,0,2,1,2.33
34,0,0,0,0,0,0,7,1,3.07
35,Olimpiade Kimia,Propinsi,Olimpiade Kimia,Propinsi,Olimpiade Biologi,Nasional,6,1,3.11
36,0,0,0,0,0,0,5,1,2.14
37,0,0,0,0,0,0,9,1,2.46
38,0,0,0,0,0,0,0,1,2.53
39,0,0,0,0,0,0,6,1,2.54
40,0,0,0,0,0,0,8,0,0.00
41,0,0,0,0,0,0,9,1,2.63
42,Drama/Sastra,Propinsi,Seni Rupa/Lukis,Propinsi,Seni Rupa/Lukis,Propinsi,2,1,2.25
43,0,0,0,0,0,0,0,1,2.58
44,Pramuka/Organisasi Ekstrakurikuler,Sekolah,Pramuka/Organisasi Ekstrakurikuler,Sekolah,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kodya,7,1,2.43
45,0,0,0,0,0,0,3,0,0.00
46,0,0,0,0,0,0,7,0,0.00
47,Pramuka/Organisasi Ekstrakurikuler,Propinsi,Pramuka/Organisasi Ekstrakurikuler,Propinsi,0,0,7,1,2.01
48,Olimpiade Kimia,Kabupaten/Kodya,Pramuka/Organisasi Ekstrakurikuler,Propinsi,Olimpiade Matematika,Internasional,1,1,2.31
49,0,0,0,0,0,0,2,1,2.94
50,0,0,0,0,0,0,7,1,2.46
51,0,0,0,0,0,0,2,1,2.64
