ID,1-IND,1-ING,1-MAT,1-BIO,1-FIS,1-KIM,1-EKO,1-GEO,1-SOS,1-BAS,1-AGM,1-PJO,1-SNB,2-IND,2-ING,2-MAT,2-BIO,2-FIS,2-KIM,2-EKO,2-GEO,2-SOS,2-BAS,2-AGM,2-PJO,2-SNB,3-IND,3-ING,3-MAT,3-BIO,3-FIS,3-KIM,3-EKO,3-GEO,3-SOS,3-BAS,3-AGM,3-PJO,3-SNB,4-IND,4-ING,4-MAT,4-BIO,4-FIS,4-KIM,4-EKO,4-GEO,4-SOS,4-BAS,4-AGM,4-PJO,4-SNB,5-IND,5-ING,5-MAT,5-BIO,5-FIS,5-KIM,5-EKO,5-GEO,5-SOS,5-BAS,5-AGM,5-PJO,5-SNB,indeks_mapel_un_1_5,ranking_mapel_un_1_5,indeks_mapel_un-1,ranking_mapel_un-1,indeks_mapel_un-2,ranking_mapel_un-2,indeks_mapel_un-3,ranking_mapel_un-3,indeks_mapel_un-4,ranking_mapel_un-4,indeks_mapel_un-5,ranking_mapel_un-5
1,80,82,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,83,79,80,79,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,84,78,81,78,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,82,87,80,78,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,80,77,79,84,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,75,NULL,78.8165,1,79.6,1,77.2,1,78.09090909,2,77,2,79.375,1
2,85,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,78,85,90,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,78,83,83,89,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,85,90,86,92,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,80,85,90,87,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,85,NULL,85.4865,11,86.875,22,88.75,9,82.125,13,83.75,5,86.2,6
3,86,86,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,84,85.6,86,86,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,85.2,82,82,80.25,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,91,87.5,79.4,84.47,82.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.88,85,86,79.75,89.63,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.4,92,85,84.7756,13,86.35294118,21,85.88235294,30,82.69117647,7,84.02882353,12,85.026,5
4,80,77,73,80,75,74,70,78,76,80,84,78,NULL,80,80,75,80,78,75,78,79,77,70,78,80,NULL,79,80,78,78,78,77,NULL,NULL,NULL,78,78,78,NULL,80,80,79,81,76,78,NULL,NULL,NULL,77,80,82,NULL,81,82,78,80,77,76,NULL,NULL,NULL,85,78,82,NULL,78.2963,16,76.55555556,10,78.11111111,8,78.33333333,13,79,17,79,24
5,96,96,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,85,90,85,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,85,90,80,85,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,90,85,85,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,90,85,85,90,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,85,90,87.973,39,93.125,9,87.5,23,83.75,63,86.25,47,90,22
6,90,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,90,90,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,85,90,96,85,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,95,90,85,96,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,95,90,90,85,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,85,90,89.2973,33,88.875,50,88.125,17,89.625,32,89.5,32,91,21
7,83.7,85,87,83.7,80,80,83.7,85,NULL,NULL,92.5,87,92.5,93.5,92.5,94.5,94.5,92.5,94,93.5,92.5,NULL,NULL,93.5,95,83.75,90,91,91.5,91,92,90,91,91.5,NULL,NULL,92.5,91.5,95.5,94,93.5,94.5,94.5,92.5,92.5,94,93.5,NULL,NULL,91,94.5,91,95,95.5,96,95,96.5,95.5,96,95.5,NULL,NULL,83.75,93.5,94,91.5986,3,83.38157895,16,93.68421053,5,90.90909091,4,93.59090909,8,95.59090909,4
8,77,80,76,77,80,75,80,74,75,80,92,84,85,80,84,77,79,81,79,82,78,80,90,84,83,85,82,86,79,83,83,82,NULL,NULL,NULL,81,78,79,81,87,90,83,85,84,88,NULL,NULL,NULL,89,90,80,85,88,94,86,85,86,89,NULL,NULL,NULL,NULL,83,78,85,83.1518,111,77.55,130,80.1,111,82.5,115,86.16666667,66,88,77
9,78,80,77,77,80,76,78,73,75,75,77,85,80,80,82,78,79,80,78,80,80,80,86,88,83,88,85,88,84,83,83,86,NULL,NULL,NULL,77,82,79,88,85,90,86,85,84,88,NULL,NULL,NULL,83,91,79,85,89,91,85,82,85,89,NULL,NULL,NULL,NULL,84,79,86,83.4464,93,78.1,111,79.6,127,84.83333333,32,86.33333333,59,86.83333333,121
10,83,85,84,82,83,84,85,86,85,85,85,87,85,85,87,85,85,86,85,87,88,87,91,88,86,89,87,89,86,88,89,87,NULL,NULL,NULL,86,86,89,80,89,92,88,90,91,90,NULL,NULL,NULL,88,93,84,86,90,93,90,92,93,92,NULL,NULL,NULL,NULL,87,82,88,87.9286,9,83.65,8,85.55,8,87.66666667,11,90,10,91.66666667,11
