,0,1,2,3,4,5,6,7,8,9,10
577,66.67,60.0,0.0,46.67,55.56,22.35,7.22,50.0,100.0,10.96,1.0
58,0.0,40.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
108,33.33,30.0,75.0,33.33,55.56,34.54,5.15,63.89,100.0,7.34,0.0
484,0.0,20.0,50.0,33.33,55.56,50.34,5.15,41.67,100.0,13.84,1.0
213,66.67,20.0,25.0,33.33,55.56,22.35,5.15,91.67,100.0,10.96,0.0
313,100.0,50.0,50.0,33.33,33.33,22.35,3.09,61.11,100.0,10.96,0.0
219,66.67,30.0,25.0,33.33,55.56,58.01,5.15,52.78,100.0,3.67,0.0
258,66.67,20.0,50.0,33.33,33.33,16.25,5.15,58.33,100.0,5.37,0.0
425,66.67,40.0,25.0,33.33,77.78,22.35,7.22,44.44,100.0,10.96,1.0
152,66.67,30.0,75.0,33.33,11.11,37.92,1.03,58.33,100.0,1.69,0.0
398,66.67,20.0,25.0,33.33,33.33,42.89,5.15,75.0,100.0,4.8,1.0
40,0.0,60.0,50.0,33.33,55.56,13.77,5.15,41.67,100.0,9.04,0.0
115,33.33,60.0,75.0,46.67,77.78,26.86,7.22,63.89,100.0,7.91,0.0
164,66.67,80.0,25.0,33.33,55.56,22.35,3.09,52.78,100.0,10.96,0.0
396,66.67,40.0,50.0,46.67,11.11,11.29,5.15,80.56,100.0,0.85,1.0
440,33.33,20.0,50.0,33.33,55.56,11.06,5.15,59.42,100.0,0.28,1.0
127,33.33,20.0,50.0,33.33,55.56,58.69,5.15,83.33,100.0,9.89,0.0
455,33.33,30.0,50.0,46.67,55.56,16.03,5.15,66.67,100.0,2.54,1.0
293,66.67,30.0,25.0,33.33,33.33,22.35,5.15,55.56,100.0,10.96,0.0
566,33.33,80.0,50.0,46.67,77.78,65.24,5.15,77.78,100.0,12.71,1.0
45,0.0,70.0,0.0,33.33,11.11,22.35,1.03,59.42,100.0,10.96,0.0
531,0.0,50.0,50.0,33.33,55.56,8.8,5.15,86.11,100.0,0.0,1.0
338,66.67,50.0,50.0,33.33,55.56,22.35,5.15,50.0,100.0,10.96,1.0
336,0.0,90.0,50.0,33.33,55.56,6.32,5.15,38.89,100.0,2.26,1.0
171,66.67,60.0,50.0,33.33,55.56,22.35,1.03,38.89,100.0,10.96,0.0
51,0.0,70.0,50.0,6.67,55.56,22.35,5.15,59.42,100.0,10.96,0.0
588,33.33,30.0,50.0,33.33,55.56,47.63,5.15,66.67,100.0,30.23,1.0
264,66.67,20.0,75.0,33.33,11.11,37.92,1.03,44.44,100.0,5.37,0.0
261,66.67,60.0,25.0,33.33,33.33,42.89,5.15,50.0,100.0,22.88,0.0
279,66.67,70.0,50.0,33.33,33.33,22.35,5.15,61.11,100.0,10.96,0.0
9,0.0,30.0,50.0,33.33,55.56,30.02,5.15,75.0,100.0,2.26,0.0
523,66.67,50.0,50.0,33.33,33.33,22.35,3.09,44.44,100.0,10.96,1.0
421,0.0,30.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
414,66.67,40.0,50.0,33.33,11.11,22.35,5.15,63.89,100.0,10.96,1.0
617,66.67,60.0,0.0,6.67,11.11,22.35,1.03,36.11,100.0,10.96,1.0
141,66.67,50.0,25.0,20.0,33.33,31.15,3.09,55.56,100.0,4.52,0.0
527,100.0,80.0,25.0,33.33,55.56,22.35,5.15,80.56,100.0,10.96,1.0
175,66.67,40.0,50.0,33.33,55.56,55.98,5.15,55.56,100.0,12.43,0.0
134,33.33,70.0,75.0,33.33,77.78,35.44,7.22,52.78,100.0,9.89,0.0
586,33.33,70.0,75.0,46.67,77.78,10.61,7.22,72.22,100.0,3.95,1.0
69,33.33,80.0,50.0,33.33,55.56,66.14,5.15,63.89,100.0,45.76,0.0
179,66.67,30.0,25.0,33.33,55.56,22.35,5.15,52.78,100.0,10.96,0.0
603,66.67,20.0,25.0,46.67,33.33,22.35,3.09,61.11,100.0,10.96,1.0
548,0.0,50.0,75.0,46.67,55.56,38.37,5.15,80.56,100.0,8.19,1.0
418,66.67,60.0,50.0,33.33,55.56,55.98,5.15,55.56,100.0,22.32,1.0
87,33.33,60.0,50.0,33.33,55.56,39.73,5.15,59.42,100.0,5.93,0.0
256,66.67,30.0,50.0,33.33,11.11,32.28,1.03,50.0,100.0,11.3,0.0
283,66.67,40.0,0.0,33.33,11.11,16.48,3.09,63.89,100.0,0.85,0.0
561,0.0,70.0,75.0,46.67,55.56,7.9,5.15,69.44,100.0,3.95,1.0
592,66.67,10.0,50.0,33.33,77.78,22.35,1.03,63.89,100.0,10.96,1.0
466,66.67,50.0,50.0,33.33,33.33,23.7,5.15,44.44,100.0,4.24,1.0
212,66.67,50.0,25.0,46.67,33.33,22.35,7.22,75.0,100.0,10.96,0.0
397,66.67,10.0,0.0,33.33,55.56,22.35,7.22,33.33,100.0,10.96,1.0
351,0.0,0.0,50.0,33.33,55.56,42.21,5.15,55.56,100.0,11.02,1.0
44,0.0,20.0,75.0,60.0,77.78,22.35,7.22,59.42,100.0,10.96,0.0
364,33.33,30.0,100.0,46.67,100.0,23.7,7.22,61.11,100.0,6.78,1.0
500,0.0,40.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
509,66.67,80.0,50.0,33.33,33.33,20.32,5.15,66.67,100.0,8.76,1.0
453,66.67,10.0,50.0,33.33,55.56,22.35,5.15,50.0,100.0,10.96,1.0
136,66.67,60.0,0.0,33.33,11.11,22.35,5.15,50.0,100.0,10.96,0.0
512,0.0,30.0,50.0,33.33,55.56,14.45,5.15,77.78,100.0,8.76,1.0
554,66.67,40.0,50.0,20.0,33.33,60.72,5.15,72.22,100.0,2.54,1.0
581,33.33,30.0,50.0,33.33,55.56,66.14,5.15,72.22,100.0,32.77,1.0
320,100.0,70.0,50.0,33.33,55.56,22.35,5.15,66.67,100.0,10.96,0.0
200,66.67,0.0,50.0,20.0,55.56,22.35,3.09,50.0,100.0,10.96,0.0
84,33.33,50.0,50.0,33.33,55.56,36.57,5.15,77.78,100.0,10.73,0.0
359,0.0,30.0,50.0,33.33,55.56,4.97,5.15,58.33,100.0,3.39,1.0
143,66.67,40.0,50.0,33.33,55.56,22.35,5.15,77.78,100.0,10.96,0.0
481,100.0,40.0,25.0,20.0,55.56,22.35,5.15,77.78,100.0,10.96,1.0
47,0.0,50.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
436,33.33,60.0,50.0,33.33,55.56,17.38,5.15,63.89,100.0,1.41,1.0
99,33.33,40.0,75.0,46.67,55.56,56.88,7.22,66.67,100.0,3.67,0.0
191,66.67,40.0,25.0,33.33,33.33,22.35,3.09,91.67,100.0,10.96,0.0
340,66.67,20.0,0.0,33.33,11.11,22.35,1.03,33.33,100.0,10.96,1.0
59,0.0,20.0,50.0,33.33,55.56,22.35,7.22,59.42,100.0,10.96,0.0
11,0.0,30.0,50.0,33.33,55.56,40.63,5.15,55.56,100.0,4.52,0.0
