indeks_mapel_un_1_5,presentase_rangking _1_5,indeks_mapel_un_3_5,presentase_rangking _1_5,lulus_tpb
78.82,33.33,78.16,55.56,0
85.49,16.18,84.02,11.76,1
84.78,38.24,83.92,23.53,1
78.3,19.28,78.78,21.69,1
87.97,58.21,86.67,66,1
89.3,49.25,90.04,42.5,1
91.6,9.38,93.36,16.67,0
83.15,49.55,85.56,39.69,1
83.45,41.52,86,32.62,1
87.93,4.02,89.78,4.92,0
86.82,3.82,88.69,3.18,1
83.04,51.79,84.89,50,1
89.1,3.38,88.96,7.43,1
82.73,5.56,80.86,3.7,0
89.11,24,90.18,22.67,1
81.03,13.04,81.1,17.39,1
83.97,22.22,83.93,19.23,1
85.48,50,88.26,45.83,1
79.9,25.88,81.69,33.2,1
82.89,49.16,84.03,46.15,1
83.06,26.24,85.61,30.42,1
82.62,33.96,85.3,31.55,0
81.23,28.28,82.89,29.46,0
84.22,48.18,86.24,52.42,1
84.34,39.74,87.15,29.36,0
83.42,76.47,81.13,75.49,1
80.7,62.96,81.22,59.49,0
81.98,52.09,84.33,56.23,1
85.41,39.39,87.39,18.84,1
81.31,52.08,81.91,58.22,1
83.19,46.49,84.24,41.69,1
81.82,19.15,82.38,22.7,1
86.48,19.18,87.33,17.21,1
85.27,11.11,86.22,12.35,1
85.71,39.42,88.3,26.77,1
81.16,23.33,80.57,29.44,1
79.26,67.74,79.97,64.71,1
79.99,18.8,83.59,13.39,1
79.8,76.92,79.66,67.57,1
84.77,43.25,85.35,45.82,1
82.01,5.26,83.24,7.89,1
81.9,61.54,82.67,64.55,1
87.11,30.15,89.28,27.45,0
87.43,22.06,89.5,13.73,0
80.13,48.54,80.58,50.16,1
80.95,48.11,82.33,38.68,1
80.76,58.38,82.12,53.55,1
83.07,45.45,83.39,56.28,1
80.42,55.1,80.88,55.67,1
80.3,16.67,80.47,22.84,1
79.87,37.63,81.94,38.71,1
81.6,32.26,85.75,26.16,0
82.05,60.54,83.42,55.96,1
88.47,4.69,90.18,5.08,1
76.61,52.88,79.72,41.48,1
80.24,41.13,80.79,61.61,1
81.33,8.06,83.72,8.33,0
80.78,75.59,82.12,71.91,1
85.88,32.47,87.57,32.24,1
81.62,10.53,83.07,7.89,1
79.3,80.61,80.09,67.01,1
86.89,20.13,87.73,30.26,1
83.41,35.58,85.83,44.44,0
84.31,18.52,85.33,22.78,1
92.49,8.97,93.27,15.63,0
92.83,7.69,93.83,11.61,1
81.54,14.66,81.42,18.68,1
84.72,25.49,84.39,22.22,1
80.76,84,80.96,75.34,1
81.05,9.68,83.8,22.58,1
83.63,16.13,85.46,27.96,1
83.61,14.07,85.94,19.83,1
81.25,79.81,84.37,69.57,1
78.67,30.05,79.34,52.59,1
82.6,6.85,83.7,56.85,1
83.43,34.62,86.8,25.12,1
76.47,40.3,77.98,34.88,0
84.97,53.85,86.47,64.35,1
81.93,2.15,84.17,3.25,1
79.86,60.97,79.72,71.54,0
83.1,82.37,84.13,78.24,1
79.82,44.44,80.34,58.33,1
87.47,60,88.65,70,1
84.96,69.55,86.58,72.65,1
84.46,47.86,85.21,45.56,1
85.75,50.32,86.64,64.67,1
79.8,71.57,79.11,66.18,1
81.18,22.73,79.41,69.59,1
82.72,35.36,85.45,31.19,1
83.16,70.63,88.28,52.92,0
82.85,30.8,86.34,14.63,0
81.31,9.68,83.33,8.92,1
90.17,1.17,91.94,1.75,1
88.15,1.23,89.54,6.4,0
76.85,60,79.96,40,1
81.27,30.77,83.18,27.88,0
92.13,14.67,94.13,16,1
79.8,100,78.56,95.12,1
78.99,64.39,80.61,60.76,1
82.85,51.97,83.31,61.51,1
90.06,2.38,92,2.4,1
85.18,6.12,83.27,12.24,1
80.45,32.86,81.82,31.94,1
81.95,50.98,80.83,44.61,1
80.04,63.68,82.67,36.11,1
82.11,4.69,82.62,2.34,1
86.81,3.23,87.89,6.05,0
84,47.37,87.42,32.14,1
85.47,41.88,89.39,55.43,1
78.48,100,79.07,100,1
83.17,11.41,84.47,19.8,1
84.86,52.6,86.31,41.45,1
80.17,9.22,80.36,16.31,1
78.25,72.2,80.33,46.27,1
78.41,40.53,81.89,28.95,1
83.54,14.83,86.22,15.79,1
