RI, Na, Mg, Al, Si, K, Ca, Ba, Fe,Class,
151.588.824,1.287.795,343.036,140.066,73.282, 0.68931,804.468, 0.0, 0.1224, negative,0
15.176.423,129.777,353.812,121.127,73.002, 0.65205,852.888, 0.0, 0.0, negative,0
152.212.996,1.420.795,382.099, 0.46976, 71.77, 0.11178,95.726, 0.0, 0.0, negative,0
152.222.108,1.321.045,37.716, 0.79076,719.884, 0.13041,102.452, 0.0, 0.0, negative,0
151.755.118, 13.39,365.935,11.888,727.892, 0.57132,827.064, 0.0, 0.0561, negative,0
152.099.096,1.368.925,3.592,112.139,719.604, 0.08694,940.044, 0.0, 0.0, negative,0
151.755.118,131.506,360.996,105.077,732.372, 0.57132,823.836, 0.0, 0.0, negative,0
151.910.022,1.390.205,373.119,117.917,721.228, 0.0621,889.472, 0.0, 0.0, negative,0
151.793.844,1.321.045,347.975,141.029,72.638, 0.58995,843.204, 0.0, 0.0, negative,0
151.898.632,1.358.285,334.954,123.053,72.078, 0.58995,890.548, 0.0, 0.0, negative,0
151.215.232,12.991,347.077,112.139,729.796, 0.621,834.596, 0.0, 0.1581, negative,0
151.976.084,1.380.895,357.853,132.041,717.196, 0.11799,866.876, 0.68985, 0.0, negative,0
151.761.952,1.388.875,360.098,135.893,727.276, 0.47817,782.948, 0.0, 0.0, negative,0
151.784.732,1.267.845,366.833,115.991,731.084, 0.60858,870.104, 0.0, 0.0, negative,0
151.720.948,133.767,35.022,115.028,728.508, 0.50301,843.204, 0.0, 0.0, negative,0
151.746.006,1.283.805,35.022,114.065,732.708, 0.5589,85.504, 0.0, 0.0, negative,0
152.210.718,1.372.915,383.895, 0.72014,717.588, 0.16767,974.476, 0.0, 0.0, negative,0
151.823.458,128.713,347.975,129.152,729.516, 0.60237,843.204, 0.0, 0.0, negative,0
151.919.134,14.417,357.853,136.856,72.078, 0.5589,830.292, 0.0, 0.0, negative,0
151.761.952,1.279.815,365.935,126.905,730.076, 0.60237,856.116, 0.0, 0.0, negative,0
151.750.562,1.281.145,356.955,13.493,730.188, 0.621,859.344, 0.0, 0.0, negative,0
151.782.454,1.269.175,353.812,133.967,729.516, 0.57132,875.484, 0.0, 0.0, negative,0
151.793.844,127.915,35.022,112.139, 73.03, 0.63963,87.656, 0.0, 0.0, negative,0
151.837.126,131.373,284.217,127.868,728.508, 0.55269,906.688, 0.0, 0.0, negative,0
15.215.149,1.305.085,365.037, 0.87101,72.218, 0.19251,985.236, 0.0, 0.0867, negative,0
151.595.658,127.915,360.996,161.894,729.684, 0.63963,80.662, 0.0, 0.1326, negative,0
151.734.616,130.176,353.812,168.956,727.276, 0.54027,84.428, 0.0, 0.0357, negative,0
15.177.562,1.285.135,347.975,123.053,729.684, 0.60858,856.116, 0.09135, 0.1122, negative,0
151.777.898,1.321.045,338.995,133.004,727.612, 0.58995,859.344, 0.0, 0.0, negative,0
151.755.118,134.831,374.017,116.954,729.908, 0.58995,803.392, 0.0, 0.0, negative,0
15.215.149,1.305.085,365.037, 0.87101,723.188, 0.19251,985.236, 0.0, 0.0867, negative,0
151.743.728,132.969,360.098,114.065,730.916, 0.57753,81.738, 0.0, 0.0, negative,0
1.515.706,1.271.835,346.179,156.116,73.198, 0.67068,808.772, 0.0, 0.1224, negative,0
151.720.948,128.713,347.975,133.004,730.412, 0.5589,843.204, 0.0, 0.0, negative,0
151.910.022,1.388.875,352.914,132.041,718.092, 0.50922,877.636, 0.11025, 0.0, negative,0
151.869.018,131.905,337.199,117.917,72.722, 0.57132,883.016, 0.0, 0.0816, negative,0
152.171.992,135.097,38.614, 0.88064,717.924, 0.22977,954.032, 0.0, 0.0561, negative,0
151.755.118,1.299.765,360.098,135.893,729.908, 0.57132,839.976, 0.0, 0.0561, negative,0
151.761.952,1.281.145,353.812,123.053,732.372, 0.57753,8.389, 0.0, 0.0, negative,0
151.784.732,137.745,348.873,127.868,72.862, 0.60237,848.584, 0.0, 0.0, negative,0
15.175.284,1.257.205,347.077,13.814,733.884, 0.60237,85.504, 0.0, 0.0306, negative,0
15.178.701,1.273.165,343.036,11.888,729.516, 0.621,875.484, 0.0, 0.153, negative,0
152.320.062,137.225,372.221, 0.51149,717.476, 0.08694,10.568, 0.0, 0.0816, negative,0
15.229.956,133.102,357.853, 0.81965,719.884, 0.11799,1.017.516, 0.0, 0.0153, negative,0
152.101.374,136.427, 4.49,109.892,717.812, 0.0621,875.484, 0.0, 0.0, negative,0
151.750.562,128.181,355.159,149.054, 72.75, 0.54027,851.812, 0.0, 0.0969, negative,0
152.212.996,1.420.795,382.099, 0.46976, 71.77, 0.11178,95.726, 0.0, 0.0, negative,0
152.666.318,139.885,369.976, 0.71051,715.684, 0.01863,982.008, 0.0, 0.051, negative,0
151.925.968,1.319.715,333.158,127.868,72.358, 0.60237,91.422, 0.0, 0.0561, negative,0
152.171.992,134.831,374.017, 0.8999,720.108, 0.18009,960.488, 0.0, 0.0357, negative,0
151.618.438,1.352.965,355.159,153.869,729.908, 0.39123,777.568, 0.0, 0.0, negative,0
151.761.952,1.261.195,3.592,131.078,732.876, 0.57753,84.966, 0.0, 0.0, negative,0
151.768.786,1.255.875,352.016,142.955,731.476, 0.57132,853.964, 0.0, 0.0, negative,0
151.796.122,127.383,347.975,13.493,729.572, 0.63963,867.952, 0.0, 0.0, negative,0
151.807.512,134.299,286.911,11.888,728.396, 0.55269,90.346, 0.0, 0.0, negative,0
15.215.149,1.311.735,357.853, 0.8999,722.012, 0.22977,982.008, 0.0, 0.0816, negative,0
15.174.145,132.703,361.894,124.016,730.804, 0.55269,80.662, 0.0, 0.0, negative,0
151.748.284,12.858,356.057,126.905,732.092, 0.54027,837.824, 0.0, 0.0867, negative,0
151.736.894,127.782,361.894,129.152,727.892, 0.58995,870.104, 0.0, 0.0, negative,0
151.768.786,1.265.185,356.057,130.115,730.804, 0.60858,869.028, 0.0, 0.0714, negative,0
151.755.118,127.117,342.138,119.843,73.198, 0.58995,863.648, 0.0, 0.0, negative,0
151.768.786,1.245.235,271.196,129.152,73.702, 0.5589,905.612, 0.0, 0.1224, negative,0
151.905.466,136.028,361.894,110.855,72.638, 0.14283,875.484, 0.0, 0.0, negative,0
151.766.508,1.321.045,369.078,129.152, 72.61, 0.57132,821.684, 0.0, 0.0, negative,0
151.566.044,1.329.025,344.832,121.127,727.388, 0.5589,857.192, 0.0, 0.0, negative,0
152.226.664,1.416.805,381.201, 0.78113, 71.35, 0.0,969.096, 0.0, 0.0, negative,0
151.966.972,147.732,374.915, 0.29,72.022, 0.03105,900.232, 0.0, 0.0, negative,0
151.777.898,1.321.045,281.074,129.152,729.796, 0.50922,902.384, 0.0, 0.459, negative,0
15.219.705,143.609,384.793, 0.89027,713.612, 0.14904,915.296, 0.0, 0.0, negative,0
15.190.091,1.348.975,347.975,13.493,719.492, 0.55269,900.232, 0.0, 0.0, negative,0
151.848.516,136.427,387.038,126.905,719.604, 0.54027,832.444, 0.0, 0.1632, negative,0
151.818.902,137.225, 0.0, 0.55964,744.524, 0.0,1.099.292, 0.0, 0.0, negative,0
151.663.998,1.293.115,353.812,161.894,729.572, 0.63963,803.392, 0.0, 0.1071, negative,0
151.709.558,1.299.765,347.077,178.907,72.722, 0.65826,818.456, 0.0, 0.0, negative,0
151.689.056,126.718,287.809,170.882,732.092, 0.73278,853.964, 0.0, 0.0, negative,0
15.266.404,1.122.875, 0.0, 0.7715,732.092, 0.0,146.836, 0.0, 0.0, negative,0
151.850.794,1.319.715,362.792,107.003,728.284, 0.57132,841.052, 0.09135, 0.0867, negative,0
151.812.068,1.295.775,295.891,142.955,72.918, 0.60237,878.712, 0.1386, 0.0, negative,0
151.645.774,1.340.995,355.159,124.979,728.116, 0.6831,809.848, 0.0, 0.0, negative,0
151.629.828,127.117,333.158,149.054,73.282, 0.67068,823.836, 0.0, 0.0, negative,0
152.725.546,138.023,315.198, 0.65915,705.716, 0.08073,1.163.852, 0.0, 0.0, negative,0
151.891.798,1.346.315,382.997,125.942,725.484, 0.57132,820.608, 0.0, 0.0714, negative,0
151.871.296,1.293.115,365.935,156.116,725.092, 0.57753,85.504, 0.0, 0.0612, negative,0
152.176.548,137.491,101.025,135.893, 72.19, 0.32913,1.114.356, 0.0, 0.0, negative,0
15.162.755,1.299.765,357.853,153.869,728.284, 0.60858,804.468, 0.0, 0.0, negative,0
151.618.438,1.301.095,35.022,148.091, 72.89, 0.60237, 8.12, 0.0, 0.0, negative,0
15.160.477,128.979,343.934,144.881, 73.58, 0.44091,827.064, 0.0, 0.0, negative,0
15.170.728,137.225,36.818,181.154,720.612, 0.63963,788.328, 0.0, 0.0, negative,0
151.666.276,129.378,360.996,125.942, 72.75, 0.5589,86.042, 0.0, 0.0, negative,0
152.613.924,1.370.255, 0.0,135.893,71.238, 0.19251,1.343.544, 0.0, 0.051, negative,0
151.689.056,1.333.015,353.812,160.931,725.428, 0.6831,810.924, 0.0, 0.0, negative,0
151.645.774,134.432,360.996,153.869,723.916, 0.65826,803.392, 0.0, 0.0, negative,0
15.159.338,1.325.035,344.832,142.955, 73.17, 0.60858,786.176, 0.0, 0.0, negative,0
151.743.728,1.219.965,325.076,115.991,735.508, 0.621,889.472, 0.0, 0.1224, negative,0
152.474.966,114.482, 0.0,187.895, 72.19, 0.8073,1.324.176, 0.0, 0.1734, negative,0
151.828.014,1.323.705,390.181,141.029, 72.33, 0.55269,831.368, 0.0, 0.051, negative,0
151.789.288,131.905,390.181,130.115, 72.33, 0.55269,84.428, 0.0, 0.1428, negative,0
151.839.404,1.285.135,366.833,124.016,725.708, 0.621,867.952, 0.0, 0.1785, negative,0
15.159.338,1.309.075,3.592,151.943,730.972, 0.67068,782.948, 0.0, 0.0, negative,0
15.159.338,1.309.075,352.016,155.153,728.676, 0.6831,804.468, 0.0, 0.459, negative,0
151.588.824,1.311.735,340.791,158.042,732.596, 0.06831,8.389, 0.0, 0.0969, negative,0
151.818.902,126.186,276.135, 0.82928,738.084, 0.34776,942.196, 0.0, 0.102, negative,0
151.846.238,130.974,396.916,11.888,72.442, 0.60237,843.204, 0.0, 0.0, negative,0
152.080.872,1.378.235,228.092,142.955,719.884, 0.49059,985.236, 0.0, 0.0867, negative,0
