RI, Na, Mg, Al, Si, K, Ca, Ba, Fe,Class
151588824.00,1287795.00,343036.00,140066.00,73282.00, 0.68931,804468.00, 0.0, 0.1224,0
15176423.00,129777.00,353812.00,121127.00,73002.00, 0.65205,852888.00, 0.0, 0.0,0
152212996.00,1420795.00,382099.00, 0.46976, 71.77, 0.11178,95726.00, 0.0, 0.0,0
152222108.00,1321045.00,37716.00, 0.79076,719884.00, 0.13041,102452.00, 0.0, 0.0,0
151755118.00, 13.39,365935.00,11888.00,727892.00, 0.57132,827064.00, 0.0, 0.0561,0
152099096.00,1368925.00,3592.00,112139.00,719604.00, 0.08694,940044.00, 0.0, 0.0,0
151755118.00,131506.00,360996.00,105077.00,732372.00, 0.57132,823836.00, 0.0, 0.0,0
151910022.00,1390205.00,373119.00,117917.00,721228.00, 0.0621,889472.00, 0.0, 0.0,0
151793844.00,1321045.00,347975.00,141029.00,72638.00, 0.58995,843204.00, 0.0, 0.0,0
151898632.00,1358285.00,334954.00,123053.00,72078.00, 0.58995,890548.00, 0.0, 0.0,0
151215232.00,12991.00,347077.00,112139.00,729796.00, 0.621,834596.00, 0.0, 0.1581,0
151976084.00,1380895.00,357853.00,132041.00,717196.00, 0.11799,866876.00, 0.68985, 0.0,0
151761952.00,1388875.00,360098.00,135893.00,727276.00, 0.47817,782948.00, 0.0, 0.0,0
151784732.00,1267845.00,366833.00,115991.00,731084.00, 0.60858,870104.00, 0.0, 0.0,0
151720948.00,133767.00,35022.00,115028.00,728508.00, 0.50301,843204.00, 0.0, 0.0,0
151746006.00,1283805.00,35022.00,114065.00,732708.00, 0.5589,85504.00, 0.0, 0.0,0
152210718.00,1372915.00,383895.00, 0.72014,717588.00, 0.16767,974476.00, 0.0, 0.0,0
151823458.00,128713.00,347975.00,129152.00,729516.00, 0.60237,843204.00, 0.0, 0.0,0
151919134.00,14417.00,357853.00,136856.00,72078.00, 0.5589,830292.00, 0.0, 0.0,0
151761952.00,1279815.00,365935.00,126905.00,730076.00, 0.60237,856116.00, 0.0, 0.0,0
151750562.00,1281145.00,356955.00,13493.00,730188.00, 0.621,859344.00, 0.0, 0.0,0
151782454.00,1269175.00,353812.00,133967.00,729516.00, 0.57132,875484.00, 0.0, 0.0,0
151793844.00,127915.00,35022.00,112139.00, 73.03, 0.63963,87656.00, 0.0, 0.0,0
151837126.00,131373.00,284217.00,127868.00,728508.00, 0.55269,906688.00, 0.0, 0.0,0
15215149.00,1305085.00,365037.00, 0.87101,72218.00, 0.19251,985236.00, 0.0, 0.0867,0
151595658.00,127915.00,360996.00,161894.00,729684.00, 0.63963,80662.00, 0.0, 0.1326,0
151734616.00,130176.00,353812.00,168956.00,727276.00, 0.54027,84428.00, 0.0, 0.0357,0
15177562.00,1285135.00,347975.00,123053.00,729684.00, 0.60858,856116.00, 0.09135, 0.1122,0
151777898.00,1321045.00,338995.00,133004.00,727612.00, 0.58995,859344.00, 0.0, 0.0,0
151755118.00,134831.00,374017.00,116954.00,729908.00, 0.58995,803392.00, 0.0, 0.0,0
15215149.00,1305085.00,365037.00, 0.87101,723188.00, 0.19251,985236.00, 0.0, 0.0867,0
151743728.00,132969.00,360098.00,114065.00,730916.00, 0.57753,81738.00, 0.0, 0.0,0
1515706.00,1271835.00,346179.00,156116.00,73198.00, 0.67068,808772.00, 0.0, 0.1224,0
151720948.00,128713.00,347975.00,133004.00,730412.00, 0.5589,843204.00, 0.0, 0.0,0
151910022.00,1388875.00,352914.00,132041.00,718092.00, 0.50922,877636.00, 0.11025, 0.0,0
151869018.00,131905.00,337199.00,117917.00,72722.00, 0.57132,883016.00, 0.0, 0.0816,0
152171992.00,135097.00,38614.00, 0.88064,717924.00, 0.22977,954032.00, 0.0, 0.0561,0
151755118.00,1299765.00,360098.00,135893.00,729908.00, 0.57132,839976.00, 0.0, 0.0561,0
151761952.00,1281145.00,353812.00,123053.00,732372.00, 0.57753,8389.00, 0.0, 0.0,0
151784732.00,137745.00,348873.00,127868.00,72862.00, 0.60237,848584.00, 0.0, 0.0,0
15175284.00,1257205.00,347077.00,13814.00,733884.00, 0.60237,85504.00, 0.0, 0.0306,0
15178701.00,1273165.00,343036.00,11888.00,729516.00, 0.621,875484.00, 0.0, 0.153,0
152320062.00,137225.00,372221.00, 0.51149,717476.00, 0.08694,10568.00, 0.0, 0.0816,0
15229956.00,133102.00,357853.00, 0.81965,719884.00, 0.11799,1017516.00, 0.0, 0.0153,0
152101374.00,136427.00, 4.49,109892.00,717812.00, 0.0621,875484.00, 0.0, 0.0,0
151750562.00,128181.00,355159.00,149054.00, 72.75, 0.54027,851812.00, 0.0, 0.0969,0
152212996.00,1420795.00,382099.00, 0.46976, 71.77, 0.11178,95726.00, 0.0, 0.0,0
152666318.00,139885.00,369976.00, 0.71051,715684.00, 0.01863,982008.00, 0.0, 0.051,0
151925968.00,1319715.00,333158.00,127868.00,72358.00, 0.60237,91422.00, 0.0, 0.0561,0
152171992.00,134831.00,374017.00, 0.8999,720108.00, 0.18009,960488.00, 0.0, 0.0357,0
151618438.00,1352965.00,355159.00,153869.00,729908.00, 0.39123,777568.00, 0.0, 0.0,0
151761952.00,1261195.00,3592.00,131078.00,732876.00, 0.57753,84966.00, 0.0, 0.0,0
151768786.00,1255875.00,352016.00,142955.00,731476.00, 0.57132,853964.00, 0.0, 0.0,0
151796122.00,127383.00,347975.00,13493.00,729572.00, 0.63963,867952.00, 0.0, 0.0,0
151807512.00,134299.00,286911.00,11888.00,728396.00, 0.55269,90346.00, 0.0, 0.0,0
15215149.00,1311735.00,357853.00, 0.8999,722012.00, 0.22977,982008.00, 0.0, 0.0816,0
15174145.00,132703.00,361894.00,124016.00,730804.00, 0.55269,80662.00, 0.0, 0.0,0
151748284.00,12858.00,356057.00,126905.00,732092.00, 0.54027,837824.00, 0.0, 0.0867,0
151736894.00,127782.00,361894.00,129152.00,727892.00, 0.58995,870104.00, 0.0, 0.0,0
